title,author,category,isbn,availability_status
Swami and Friends,R.K. Narayan,Fiction,978-81-01-0001-0,Available
The Bachelor of Arts,R.K. Narayan,Fiction,978-81-01-0002-0,Available
The Dark Room,R.K. Narayan,Fiction,978-81-01-0003-0,Available
The English Teacher,R.K. Narayan,Fiction,978-81-01-0004-0,Borrowed
The Guide,R.K. Narayan,Fiction,978-81-01-0005-0,Available
The Man-Eater of Malgudi,R.K. Narayan,Fiction,978-81-01-0006-0,Available
The Vendor of Sweets,R.K. Narayan,Fiction,978-81-01-0007-0,Borrowed
Malgudi Days,R.K. Narayan,Fiction,978-81-01-0008-0,Available
The Room on the Roof,Ruskin Bond,Fiction,978-81-01-0009-0,Available
A Flight of Pigeons,Ruskin Bond,Fiction,978-81-01-0010-0,Borrowed
The Blue Umbrella,Ruskin Bond,Fiction,978-81-01-0011-0,Available
The Night Train at Deoli,Ruskin Bond,Fiction,978-81-01-0012-0,Available
The God of Small Things,Arundhati Roy,Fiction,978-81-01-0013-0,Borrowed
The Ministry of Utmost Happiness,Arundhati Roy,Fiction,978-81-01-0014-0,Available
A Suitable Boy,Vikram Seth,Fiction,978-81-01-0015-0,Available
The Namesake,Jhumpa Lahiri,Fiction,978-81-01-0016-0,Borrowed
Interpreter of Maladies,Jhumpa Lahiri,Fiction,978-81-01-0017-0,Available
The Lowland,Jhumpa Lahiri,Fiction,978-81-01-0018-0,Available
The White Tiger,Aravind Adiga,Fiction,978-81-01-0019-0,Available
Five Point Someone,Chetan Bhagat,Fiction,978-81-01-0020-0,Borrowed
2 States,Chetan Bhagat,Fiction,978-81-01-0021-0,Available
Half Girlfriend,Chetan Bhagat,Fiction,978-81-01-0022-0,Available
Midnight's Children,Salman Rushdie,Fiction,978-81-01-0023-0,Borrowed
The Moor's Last Sigh,Salman Rushdie,Fiction,978-81-01-0024-0,Available
A Fine Balance,Rohinton Mistry,Fiction,978-81-01-0025-0,Available
India After Gandhi,Ramachandra Guha,History,978-81-02-0001-0,Available
Gandhi Before India,Ramachandra Guha,History,978-81-02-0002-0,Borrowed
The Last Mughal,William Dalrymple,History,978-81-02-0003-0,Available
White Mughals,William Dalrymple,History,978-81-02-0004-0,Available
The Anarchy,William Dalrymple,History,978-81-02-0005-0,Borrowed
An Era of Darkness,Shashi Tharoor,History,978-81-02-0006-0,Available
The Discovery of India,Jawaharlal Nehru,History,978-81-02-0007-0,Available
Annihilation of Caste,B.R. Ambedkar,History,978-81-02-0008-0,Borrowed
The Penguin History of Early India,Romila Thapar,History,978-81-02-0009-0,Available
India's Struggle for Independence,Bipan Chandra,History,978-81-02-0010-0,Available
Wings of Fire,A.P.J. Abdul Kalam,Non-Fiction,978-81-03-0001-0,Available
Ignited Minds,A.P.J. Abdul Kalam,Non-Fiction,978-81-03-0002-0,Borrowed
India 2020,A.P.J. Abdul Kalam,Non-Fiction,978-81-03-0003-0,Available
The Argumentative Indian,Amartya Sen,Non-Fiction,978-81-03-0004-0,Available
Development as Freedom,Amartya Sen,Non-Fiction,978-81-03-0005-0,Borrowed
The Story of My Experiments with Truth,Mahatma Gandhi,Non-Fiction,978-81-03-0006-0,Available
Autobiography of a Yogi,Paramahansa Yogananda,Non-Fiction,978-81-03-0007-0,Available
Playing It My Way,Sachin Tendulkar,Non-Fiction,978-81-03-0008-0,Borrowed
Mind Master,Viswanathan Anand,Non-Fiction,978-81-03-0009-0,Available
The Immortals of Meluha,Amish Tripathi,Fantasy,978-81-04-0001-0,Available
The Secret of the Nagas,Amish Tripathi,Fantasy,978-81-04-0002-0,Borrowed
The Oath of the Vayuputras,Amish Tripathi,Fantasy,978-81-04-0003-0,Available
Scion of Ikshvaku,Amish Tripathi,Fantasy,978-81-04-0004-0,Available
Myth Equals Mithya,Devdutt Pattanaik,Fantasy,978-81-04-0005-0,Borrowed
Jaya An Illustrated Retelling of the Mahabharata,Devdutt Pattanaik,Fantasy,978-81-04-0006-0,Available
The Palace of Illusions,Chitra Banerjee Divakaruni,Fantasy,978-81-04-0007-0,Available
Chanakya's Chant,Ashwin Sanghi,Fantasy,978-81-04-0008-0,Borrowed
The Star-Touched Queen,Roshani Chokshi,Fantasy,978-81-04-0009-0,Available
The Case of the Missing Servant,Tarquin Hall,Mystery,978-81-05-0001-0,Available
Q and A,Vikas Swarup,Mystery,978-81-05-0002-0,Borrowed
Dongri to Dubai,S. Hussain Zaidi,Mystery,978-81-05-0003-0,Available
If God Was a Banker,Ravi Subramanian,Mystery,978-81-05-0004-0,Available
The Emperor's Ring,Satyajit Ray,Mystery,978-81-05-0005-0,Borrowed
The Bangalore Detectives Club,Harini Nagendra,Mystery,978-81-05-0006-0,Available
Introduction to Cosmology,Jayant Narlikar,Science,978-81-06-0001-0,Available
Phantoms in the Brain,V.S. Ramachandran,Science,978-81-06-0002-0,Borrowed
The Emperor of All Maladies,Siddhartha Mukherjee,Science,978-81-06-0003-0,Available
The Gene An Intimate History,Siddhartha Mukherjee,Science,978-81-06-0004-0,Available
Imagining India Technology Edition,Nandan Nilekani,Technology,978-81-07-0001-0,Available
Infosys Story of a Software Giant,N.R. Narayana Murthy,Technology,978-81-07-0002-0,Borrowed
Platform Scale,Sangeet Paul Choudary,Technology,978-81-07-0003-0,Available
Coffee Can Investing,Saurabh Mukherjea,Technology,978-81-07-0004-0,Available
Gitanjali,Rabindranath Tagore,Arts,978-81-08-0001-0,Available
The Home and the World,Rabindranath Tagore,Arts,978-81-08-0002-0,Borrowed
Tughlaq,Girish Karnad,Arts,978-81-08-0003-0,Available
Hayavadana,Girish Karnad,Arts,978-81-08-0004-0,Available
